"Year","Road.Type","Speed","Junction.Type","Brightness","Wind.Speed","Casualty.Class","Gender","Age","Damage","Severity"
"00","M",60,"3",70575,30,"O","F",45,33852.26,31
"98","B",53,"2",44385,34,"P","F",21,11010.89,63
"98","M",55,"3",95663,32,"D","F",27,38429.16,50
"00","C",76,"0",20059,22,"O","F",19,8544.21,68
"01","A",62,"3",31078,29,"O","F",65,18301.66,41
"99","A",88,"3",33968,16,"P","F",65,17513.81,41
"00","A",48,"2",27714,5,"O","M",65,18221.06,41
"98","M",58,"1",6049,17,"O","M",26,39618.65,52
"00","A",69,"3",41381,26,"P","F",21,19651.36,63
"00","M",54,"0",1075,33,"P","F",44,26123.47,31
"02","M",60,"3",46754,21,"O","M",79,30637.88,68
"98","M",37,"2",37115,135.063556770328,"D","M",66,35970.49,42
"00","M",66,"1",40047,27,"P","F",31,25369.49,44
"98","M",46,"4",35384,37,"P","F",60,37717.88,35
"98","M",88,"0",88077,15,"O","M",30,39716.3,45
"98","C",54,"2",72915,8,"D","M",67,6592.31,44
"01","M",61,"2",69688,30,"O","F",51,31351.9,30
"00","M",69,"4",26902,26,"P","F",20,29257.36,65
"01","B",46,"1",35717,37,"O","F",35,11078.12,38
"01","A",36,"2",88186,2,"O","M",76,17914.12,60
"00","M",47,"1",103516,36,"D","F",29,36483.45,47
"01","M",41,"3",15790,7,"O","M",30,27956.26,45
"02","C",85,"1",48384,18,"P","F",36,8164.21,37
"00","M",46,"4",23459,37,"O","F",37,33325.86,36
"99","C",55,"3",4358,32,"O","F",74,9367.76,56
"01","B",77,"4",30531,22,"P","F",69,10655.97,47
"00","M",56,"0",49769,32,"D","F",65,24216.78,41
"00","C",89,"2",116368,16,"P","F",57,6618.07,33
"01","A",62,"4",36242,29,"D","F",29,18486.15,47
"02","M",84,"1",110966,8,"P","M",79,28974.52,68
"00","M",57,"3",84487,15,"O","M",59,29805.84,34
"02","B",47,"4",64283,134.628009675071,"P","M",41,11713.07,33
"00","U",57,"1",35672,32,"O","F",43,2622.9,32
"01","M",62,"3",58039,10,"P","M",33,20700.03,41
"99","M",79,"0",55276,13,"O","M",48,37527.74,30
"02","M",84,"2",13824,18,"O","F",58,25523.41,33
"02","M",81,"3",58803,6,"P","M",41,25802.47,33
"99","M",55,"4",6170,11,"P","M",72,30134.09,52
"98","M",89,"0",2047,20,"O","M",47,28371.65,30
"99","M",40,"4",42322,20,"D","M",69,29892.82,47
"01","A",74,"1",35719,1,"O","M",20,19205.87,65
"01","M",46,"3",65933,37,"D","F",73,39615.96,54
"99","M",59,"1",3271,5,"P","M",44,26498.14,31
"01","M",50,"0",55603,35,"D","F",52,24509.36,30
"01","M",77,"1",30586,23,"D","M",38,32804.4,35
"02","C",86,"2",12185,17,"D","F",72,4967.29,52
"98","M",51,"2",47074,18,"D","M",79,28106.86,68
"01","U",34,"4",14075,23,"O","M",24,1990.09,56
"98","A",79,"1",70813,20,"D","F",22,19879.97,60
"02","M",85,"2",25352,18,"D","F",57,24898.94,33
"98","M",71,"2",17765,24,"P","F",66,34018.24,42
"01","A",51,"0",415,34,"P","F",68,19102.51,45
"98","B",42,"0",81690,19,"D","M",22,12609.5,60
"01","U",62,"3",52491,2,"P","M",22,2310.61,60
"98","A",45,"3",32984,21,"P","M",67,17289.73,44
"98","C",79,"1",52883,20,"D","F",36,8969.23,37
"02","A",82,"2",81018,19,"D","F",74,17499.6,56
"99","M",65,"4",91779,28,"D","F",53,29700.46,31
"98","C",31,"4",78848,44,"D","F",37,6833.12,36
"01","A",47,"3",59943,5,"D","M",71,19205.91,50
"00","A",85,"1",15212,2,"O","M",62,17524.21,37
"99","A",78,"2",110397,21,"D","F",24,17676.99,56
"99","M",85,"3",19867,18,"O","F",39,32283.95,34
"02","C",34,"2",42251,43,"O","F",66,4096.56,42
"02","C",85,"3",109593,18,"P","F",72,8478.01,52
"01","A",50,"4",91154,35,"O","F",48,16991.19,30
"98","M",31,"3",95389,44,"O","F",30,31629.25,45
"00","M",35,"2",15332,42,"O","F",53,32871.69,31
"99","C",42,"4",66288,19,"P","M",50,5705.93,30
"99","C",69,"1",44878,26,"O","F",78,4266.36,65
"01","C",53,"0",822,34,"P","F",58,3918.27,33
"98","M",63,"1",97161,28,"D","F",65,30620.42,41
"99","M",53,"2",39305,34,"P","F",26,22147.14,52
"02","A",73,"3",4288,24,"D","F",30,16852.25,45
"01","C",33,"2",93478,40,"D","F",69,7087.92,47
"01","M",36,"3",31691,42,"O","F",34,28709.94,39
"01","M",58,"2",63958,6,"P","M",41,22022.93,33
"02","M",89,"2",62993,16,"O","F",69,38981.77,47
"01","M",53,"0",98337,14,"D","M",65,21473.32,41
"02","M",76,"3",4442,22,"D","F",77,35025.06,63
"99","M",54,"3",2148,20,"D","M",28,34389.75,48
"01","M",56,"2",63731,14,"P","M",46,39535.72,30
"00","A",74,"1",102755,25,"D","M",51,17934.79,30
"01","B",37,"3",95515,21,"D","M",54,10387.87,31
"98","M",72,"3",79142,24,"D","F",79,26069.41,68
"02","M",42,"4",48584,39,"P","F",39,21317.28,34
"00","M",63,"4",10010,12,"O","M",63,36148.06,38
"00","M",72,"2",37346,24,"D","F",58,37215.06,33
"02","M",67,"3",92680,26,"D","F",59,33656.37,34
"98","M",45,"4",108083,5,"D","M",60,38719.2,35
"02","C",70,"3",17221,21,"P","M",40,9267.66,33
"00","M",33,"4",74170,44,"P","F",63,27801.68,38
"00","M",70,"1",96389,25,"P","M",70,21535.09,48
"98","M",64,"4",8951,9,"O","M",70,29086.24,48
"00","B",41,"1",90327,40,"O","F",18,14542.28,70
"99","M",71,"0",43149,24,"D","F",28,24762.7,48
"00","C",40,"2",74123,14,"O","M",32,4528.3,42
"00","M",60,"1",56419,13,"O","M",64,26089.24,39
"98","C",87,"0",609,21,"P","M",71,6512.32,50
"98","M",61,"4",100072,30,"D","F",65,24379.43,41
"00","M",54,"2",40913,24,"P","M",71,21410.21,50
"01","U",53,"0",83169,3,"D","M",77,844.45,63
"00","C",43,"3",116643,23,"P","M",24,6101.63,56
"02","B",60,"3",60727,30,"P","F",65,13362.24,41
"99","A",38,"0",58739,41,"D","F",50,16340.09,30
"02","M",81,"2",116691,20,"P","F",25,28817.62,54
"02","A",34,"3",53341,17,"D","M",28,19107.12,48
"01","A",47,"3",95496,36,"P","F",32,19949.56,42
"00","C",82,"1",29301,19,"D","M",41,3956.05,33
"98","M",68,"1",37167,26,"D","F",35,24519.03,38
"99","M",37,"3",24818,42,"O","F",35,34443.81,38
"98","B",36,"2",117164,42,"O","F",65,10163.06,41
"98","C",42,"1",56949,39,"D","F",70,7229.31,48
"01","M",69,"1",24496,26,"O","F",46,30539.3,30
"02","C",61,"2",63317,30,"O","F",20,8169.46,65
"00","M",79,"4",41078,20,"D","F",77,28065.6,63
"01","B",71,"3",102178,20,"O","M",73,10757.1,54
"00","U",66,"1",44167,27,"P","F",66,1837.32,42
"01","A",59,"1",107712,22,"P","M",75,15459.35,58
"02","C",34,"4",81089,14,"P","M",67,3000.84,44
"98","A",77,"4",119047,22,"P","F",76,17679.29,60
"02","C",55,"1",4768,32,"O","F",39,4811.47,34
"01","C",80,"1",36331,20,"P","F",19,8644.88,68
"98","M",86,"2",64060,23,"D","M",64,33098.73,39
"01","C",36,"4",101840,9,"D","M",78,8472.05,65
"98","C",78,"4",8304,21,"P","F",51,6798.59,30
"00","C",82,"0",21523,17,"D","F",23,4826.46,58
"00","M",54,"0",9421,1,"P","M",37,39085.8,36
"01","A",43,"2",111386,13,"P","M",31,18515.6,44
"02","A",39,"3",46556,40,"O","F",53,17039.37,31
"02","M",51,"4",61443,34,"P","F",56,23103.44,32
"01","M",45,"3",11075,38,"D","F",53,35716.53,31
"01","C",85,"4",112350,18,"P","F",52,6646.93,30
"99","M",67,"3",97631,26,"P","F",46,27651.32,30
"00","M",66,"4",5768,27,"D","F",47,25226.11,30
"01","U",59,"3",56409,30,"D","F",33,1834.01,41
"99","B",78,"0",2440,21,"P","F",50,14079.65,30
"99","A",56,"4",78042,14,"P","M",61,17187.63,36
"98","C",58,"3",12084,12,"O","M",55,8445.58,32
"99","M",48,"3",108097,36,"P","F",20,37501.02,65
"02","B",57,"0",106326,32,"D","F",52,10177.56,30
"99","C",41,"1",88053,18,"P","M",21,9301.29,63
"98","B",43,"4",84003,11,"P","M",18,12482.53,70
"99","B",74,"2",119138,23,"P","F",38,12917.17,35
"98","C",86,"0",6811,17,"P","F",73,8679.47,54
"98","C",85,"2",39851,10,"D","M",37,9011.01,36
"98","A",73,"3",3025,24,"O","M",78,18928.63,65
"00","C",82,"1",28516,21,"D","F",20,8201.09,65
"99","M",62,"1",59732,29,"D","F",76,34063.71,60
"99","U",56,"2",67868,32,"P","F",23,851.55,58
"01","M",43,"2",79309,3,"O","M",66,26886.81,42
"99","M",71,"0",96754,24,"D","F",43,28845.93,32
"98","C",70,"1",53435,9,"O","M",52,6444.74,30
"02","C",80,"0",59829,20,"O","F",68,9897.1,45
"02","C",76,"3",17762,22,"D","F",75,3996.97,58
"98","C",42,"4",24970,21,"P","M",22,5540.5,60
"02","M",75,"0",9951,22,"P","F",76,23234.01,60
"01","M",53,"1",17687,22,"P","M",75,29165.73,58
"98","M",46,"2",59230,8,"D","M",39,37621.8,34
"01","A",60,"3",52040,30,"O","F",64,18755.95,39
"02","C",49,"0",94632,36,"D","F",68,8848.18,45
"01","C",38,"1",82259,26,"D","F",70,5656.55,48
"02","B",38,"3",34176,16,"O","M",52,12353.61,30
"02","B",33,"0",25765,15,"O","M",23,13806.42,58
"01","B",48,"0",1089,23,"P","M",63,12808.72,38
"01","C",68,"1",28103,4,"O","M",30,5597.71,45
"98","M",58,"1",30546,12,"O","M",26,35876.91,52
"00","M",50,"2",89451,35,"P","F",28,33756.52,48
"02","M",69,"2",46511,26,"O","F",62,24385.77,37
"00","M",32,"3",48280,9,"O","M",35,36401.43,38
"00","B",47,"1",2130,36,"D","F",23,14892.11,58
"02","B",64,"1",16343,28,"P","F",35,14657.2,38
"98","M",89,"2",37615,16,"D","F",77,26111.51,63
"99","B",40,"3",47549,40,"O","F",39,11612.84,34
"98","A",65,"2",59325,28,"D","F",72,16334.61,52
"98","A",64,"1",81497,5,"D","M",21,17471.3,63
"99","M",72,"1",87131,24,"D","F",43,37001.04,32
"01","M",50,"0",116444,11,"D","M",74,30532.79,56
"02","M",54,"1",36199,9,"O","M",19,36250.37,68
"02","M",61,"1",63207,5,"O","M",24,26922.65,56
"01","M",43,"2",72800,38,"D","F",68,22321.67,45
"00","B",38,"3",4104,8,"O","M",41,11444.95,33
"99","A",84,"4",28976,4,"D","M",52,17038.24,30
"02","B",84,"2",63524,7,"D","M",60,13779.25,35
"00","M",34,"3",51268,20,"P","M",65,35096.55,41
"00","M",72,"0",114181,24,"D","F",78,34375.42,65
"99","M",32,"3",70318,19,"P","M",41,39650.52,33
"00","B",90,"4",101605,15,"O","F",70,12671.16,48
"99","M",44,"4",21624,38,"P","F",39,26199.57,34
"98","M",47,"4",17967,3,"O","M",66,29962.8,42
"00","A",44,"1",66865,18,"D","M",44,16770.26,31
"01","C",41,"2",71178,12,"D","M",75,5737.47,58
"98","M",84,"2",70064,17,"P","M",38,25037.51,35
"99","A",52,"0",4294,34,"D","F",53,16035.94,31
"99","A",64,"3",104615,28,"P","F",37,15859.01,36
"01","M",58,"1",101239,13,"O","M",48,24142.28,30
"98","M",72,"4",44645,24,"D","F",28,27654.75,48
"98","B",87,"1",95366,12,"D","M",39,14038.31,34
"99","M",78,"4",18614,21,"D","F",25,20835.34,54
"00","M",33,"4",105475,15,"P","M",76,32815.08,60
"98","B",32,"3",45629,24,"P","M",78,14514.86,65
"99","M",53,"2",101689,135.732042549644,"P","M",34,25910.04,39
"99","M",59,"0",6737,30,"P","F",21,38354.99,63
"98","U",58,"3",109207,31,"O","F",40,2830.3,33
"00","M",38,"2",117923,6,"O","M",26,33649.07,52
"02","M",36,"2",24941,42,"P","F",65,31628.99,41
"01","M",83,"3",99079,18,"P","F",58,32455.62,33
"99","M",35,"1",104488,42,"D","F",69,30045.63,47
"01","M",49,"3",50196,36,"D","F",60,30000.37,35
"00","M",86,"3",79407,17,"P","F",34,32668.9,39
"98","M",88,"1",28156,16,"D","F",44,29347.38,31
"00","M",87,"2",95762,16,"P","F",62,25543.9,37
"99","C",46,"1",70817,24,"D","M",45,4789.07,31
"01","B",64,"2",72418,28,"O","F",55,14546.34,32
"02","M",59,"4",74110,30,"O","F",51,20303.08,30
"98","C",57,"4",75574,134.900025303941,"D","F",71,9879.49,50
"98","M",56,"0",19550,3,"D","M",72,27789.05,52
"98","B",89,"4",69063,16,"P","F",46,12822.35,30
"98","C",44,"4",115569,38,"P","F",36,9651.86,37
"01","M",81,"1",86463,8,"P","M",78,32678.83,65
"99","M",61,"2",16964,11,"D","M",57,37925.53,33
"00","B",61,"0",107318,14,"D","M",21,11974.6,63
"99","A",30,"0",35845,15,"D","M",21,15103.18,63
"98","M",77,"1",40828,22,"O","F",43,22458.51,32
"00","M",84,"3",8073,11,"D","M",62,26257.47,37
"02","M",78,"1",7204,21,"O","F",22,31051.4,60
"02","U",51,"4",18899,7,"O","M",22,829.28,60
"02","A",83,"3",32318,20,"P","M",75,15403.67,58
"02","A",73,"2",97957,14,"O","M",25,16523.04,54
"99","B",32,"4",40696,44,"O","F",62,14549.49,37
"01","M",78,"3",96433,5,"O","M",50,21225.57,30
"98","A",38,"4",18549,23,"O","M",18,16785.02,70
"00","M",38,"1",37264,41,"P","F",56,30961.69,32
"01","M",37,"3",86098,10,"D","M",32,35109.42,42
"01","M",79,"2",110040,20,"D","F",20,34596.41,65
"02","B",34,"1",11161,43,"O","F",73,14976.05,54
"98","B",36,"0",1877,42,"P","F",25,13861.78,54
"00","C",36,"3",49973,42,"P","F",70,7126.68,48
"98","M",70,"0",94207,25,"D","F",30,27898.03,45
"01","U",73,"2",39470,24,"D","F",59,2940.26,34
"01","U",69,"1",11905,10,"O","M",41,1468.14,33
"99","C",35,"2",68246,42,"O","F",59,7858.47,34
"98","M",71,"0",66722,24,"O","F",59,27548.13,34
"00","M",74,"3",42144,3,"D","M",41,30599.75,33
"98","B",36,"3",97789,18,"O","M",21,14099.38,63
"01","A",45,"2",19837,38,"D","F",63,17555.33,38
"01","M",85,"2",57316,18,"D","F",74,28842.84,56
"01","M",74,"4",102352,1,"D","M",53,37437.64,31
"01","B",45,"0",7821,5,"P","M",43,11837.32,32
"99","M",61,"0",114308,22,"O","M",67,23861.88,44
"98","A",63,"2",117104,28,"P","F",44,17606.21,31
"01","U",78,"0",3270,18,"P","M",57,1253.35,33
"99","M",44,"0",2116,38,"P","F",29,29404.49,47
"98","C",63,"2",72459,28,"D","F",34,5056.56,39
"00","M",36,"1",35281,7,"D","M",29,28563.51,47
"02","C",88,"0",63780,16,"D","F",77,3486.42,63
"98","U",39,"2",35685,40,"O","F",20,1567.12,65
"02","M",87,"1",26741,16,"P","F",39,22433.66,34
"99","M",77,"1",42000,10,"O","M",77,29939.76,63
"01","U",56,"1",56379,32,"D","F",59,515.75,34
"99","M",83,"3",14848,18,"D","F",64,27297.82,39
"99","U",68,"1",106754,26,"D","F",50,571.34,30
"98","M",44,"2",13239,38,"O","F",71,36370.14,50
"02","C",75,"0",103932,7,"O","M",60,3206.96,35
"00","M",33,"2",29390,44,"D","F",28,34150.79,48
"99","M",42,"4",111519,39,"P","F",54,22110.71,31
"99","M",69,"4",22927,10,"P","M",76,32454.76,60
"01","C",35,"4",17855,1,"D","M",63,7480.36,38
"02","M",58,"2",97598,31,"D","F",30,30794.14,45
"00","M",38,"1",37193,41,"P","F",56,20660.79,32
"99","M",65,"1",71419,28,"D","F",78,38592.19,65
"02","C",39,"0",55712,40,"O","F",26,8702.22,52
"98","M",80,"2",11390,20,"O","F",43,29961.84,32
"02","M",41,"2",48301,22,"D","M",45,35199.65,31
"02","M",51,"4",119874,34,"O","F",65,29223.56,41
"99","A",47,"3",83924,36,"D","F",52,19934.47,30
"02","C",50,"2",98068,21,"O","M",30,7264.84,45
"00","M",65,"1",44680,28,"P","F",20,26411.95,65
"02","M",80,"0",5044,20,"P","F",68,33858.74,45
"01","M",44,"2",9276,16,"O","M",60,25972.93,35
"01","C",60,"0",5325,30,"P","F",79,3789.6,68
"99","B",89,"1",40955,16,"P","F",77,12648.26,63
"02","M",38,"2",107219,41,"P","F",68,20266.09,45
"02","B",89,"1",58839,20,"D","M",29,12059.19,47
"02","M",85,"1",37071,9,"O","M",64,34144.42,39
"00","M",63,"4",91439,23,"P","M",38,22196.06,35
"01","B",33,"1",5123,15,"P","M",59,11203.87,34
"99","C",47,"0",925,4,"P","M",61,7182.63,36
"99","M",88,"2",78160,16,"D","F",37,22360.15,36
"98","M",87,"1",91264,16,"P","F",70,31365.8,48
"00","C",90,"1",47991,17,"D","M",77,7905.3,63
"99","M",64,"0",110045,15,"D","M",27,29450.66,50
"00","M",65,"1",9603,28,"D","F",80,35148.69,70
"01","A",89,"1",58380,7,"O","M",51,18126.95,30
"01","M",37,"2",78866,8,"P","M",72,28112.69,52
"99","M",54,"1",22573,33,"D","F",39,24510.62,34
"02","B",36,"2",99193,8,"D","M",24,11392.4,56
"02","M",46,"4",1022,37,"O","F",45,30167.88,31
"00","M",87,"2",69258,2,"D","M",50,25051.64,30
"01","M",52,"0",7811,24,"P","M",48,21678.53,30
"00","C",89,"1",16063,41,"D","F",48,8888.99,30
"99","M",37,"4",104769,21,"O","M",69,22924.46,47
"02","M",76,"4",69136,10,"O","M",33,33745.28,41
"99","M",82,"0",4324,10,"P","M",62,31165.94,37
"98","C",80,"1",103019,20,"D","F",18,7741.37,70
"01","C",35,"1",43591,41,"D","F",20,7150.43,65
"99","A",66,"0",49950,27,"O","F",59,16952.3,34
"98","B",44,"1",49528,38,"D","F",79,13369.75,68
"01","A",34,"3",109580,43,"O","F",41,16147.33,33
"99","C",53,"3",86031,14,"P","M",20,6705.94,65
"02","M",60,"3",38483,15,"D","M",31,30239.39,44
"00","B",33,"0",6020,44,"P","F",78,13454.62,65
"02","M",55,"0",3459,32,"P","F",66,23472.61,42
"01","M",72,"3",5837,24,"P","F",79,20604.42,68
"02","U",86,"2",79594,17,"O","F",59,1775.67,34
"98","M",60,"0",21096,30,"O","F",41,38938.97,33
"98","M",32,"2",101914,4,"O","M",77,25212.94,63
"02","M",81,"0",1961,20,"P","F",21,23339.11,63
"02","M",51,"3",43594,24,"D","M",52,38506.18,30
"02","B",60,"0",5169,20,"P","M",25,11764.74,54
"01","M",61,"2",82146,30,"P","F",79,27320.9,68
"02","C",42,"4",51880,3,"D","M",80,8121.95,70
"98","M",67,"1",82305,15,"P","M",32,23989.47,42
"98","A",33,"1",22626,44,"P","F",76,15876.25,60
"02","M",36,"2",100671,42,"O","F",26,32540.15,52
"98","B",45,"1",110761,10,"D","M",49,10133.95,30
"01","M",63,"2",63822,13,"D","M",60,38187.71,35
"99","C",32,"2",19409,44,"P","F",25,4994.45,54
"01","M",80,"1",16966,9,"O","M",59,25473.61,34
"01","M",74,"1",18226,3,"O","M",65,35931.14,41
"00","C",81,"4",3263,32,"D","F",69,8239.08,47
"99","M",50,"2",97613,2,"D","M",19,33486.76,68
"99","M",75,"2",101520,22,"P","F",22,38078.55,60
"98","M",71,"1",37032,24,"P","F",32,36798.57,42
"01","C",79,"3",55964,20,"P","F",71,8264.71,50
"01","M",44,"4",44344,12,"P","M",60,32347.64,35
"02","M",82,"0",55430,5,"D","M",20,32126.19,65
"00","C",89,"1",83198,25,"D","F",67,5549.61,44
"02","M",50,"0",9219,35,"P","F",23,31063,58
"01","M",88,"4",72978,24,"D","M",27,23972.23,50
"99","M",75,"2",16647,10,"O","M",57,23747.2,33
"00","U",48,"3",62254,9,"D","M",48,2113.79,30
"99","M",61,"2",93328,30,"P","F",69,36960.05,47
"98","A",63,"1",23929,20,"P","M",37,19126.82,36
"01","A",35,"1",57661,6,"P","M",58,16559.61,33
"00","A",51,"1",117940,34,"P","F",28,17627.81,48
"01","M",50,"0",30736,19,"O","M",63,24378.44,38
"02","B",81,"2",36018,16,"D","M",49,14925.79,30
"98","M",55,"0",114298,6,"O","M",32,36954.95,42
"99","A",76,"4",41903,7,"P","M",29,19845.07,47
"01","B",76,"3",59971,22,"O","F",38,10263.25,35
"99","C",62,"1",115349,29,"O","F",68,5389.34,45
"00","M",59,"4",18681,30,"D","F",42,34006.8,32
"99","M",47,"1",2091,12,"O","M",19,34378.59,68
"02","M",38,"0",2144,41,"P","F",41,23010.69,33
"99","B",83,"4",56016,4,"D","M",74,14854.36,56
"98","M",70,"1",9114,15,"P","M",73,33542.31,54
"98","M",89,"4",64284,7,"O","M",31,38472.85,44
"00","M",62,"0",1412,22,"P","M",41,32628.24,33
"02","C",41,"4",32750,40,"O","F",45,7381.14,31
"01","M",60,"1",30702,24,"D","M",12.1586819500662,28447.36,31
"02","M",81,"2",16832,10,"O","M",37,33688.29,36
"99","M",42,"1",101465,39,"P","F",38,21909.85,35
"98","M",73,"4",24344,24,"P","F",78,33174.29,65
"02","A",68,"2",10604,133.836950906552,"O","F",49,17769.96,30
"01","A",69,"4",75056,14,"P","M",48,15608.08,30
"99","M",88,"3",43526,16,"P","F",77,34459.49,63
"01","M",62,"2",54596,22,"O","M",34,29361.53,39
"98","M",35,"1",99676,42,"O","F",65,35730.19,41
"00","M",43,"1",21671,38,"P","F",26,39913.93,52
"98","M",70,"4",40123,3,"O","M",24,24179.65,56
"00","U",34,"1",2113,18,"P","M",71,1573.87,50
"99","M",89,"3",57630,16,"P","F",53,37620.41,31
"00","M",53,"1",108627,34,"D","F",54,31245.1,31
"99","U",73,"2",4781,22,"D","M",79,992.12,68
"01","M",81,"2",90569,2,"O","M",53,25417,31
"02","B",62,"0",40513,13,"D","M",23,11516.61,58
"00","B",48,"3",84274,36,"O","F",20,13693.71,65
"01","M",49,"0",3985,36,"P","F",73,23043.54,54
"01","B",73,"3",48480,24,"D","F",56,13644.67,32
"98","C",72,"0",106766,24,"D","F",38,6016.88,35
"98","M",45,"3",60402,3,"D","M",60,22188.79,35
"01","C",74,"4",1345,14,"O","M",48,4887.83,30
"99","M",82,"0",112878,19,"D","F",76,38751.26,60
"99","M",67,"0",25402,26,"D","F",35,34128.31,38
"98","M",87,"1",73926,24,"O","M",24,20899.59,56
"00","M",71,"3",92224,24,"D","F",40,25113.39,33
"98","M",48,"2",56909,6,"O","M",25,29416.37,54
"00","M",55,"3",117366,32,"O","F",46,39234.42,30
"98","C",45,"1",33981,4,"O","M",36,7364.47,37
"02","C",69,"3",83925,24,"O","M",62,3026.1,37
"02","M",46,"0",1098,37,"P","F",30,25464.08,45
"01","C",74,"4",82406,19,"P","M",72,4512.39,52
"98","M",71,"2",65978,24,"D","F",44,32403.58,31
"98","M",31,"4",38804,44,"P","F",41,33220.22,33
"98","U",34,"2",89305,24,"D","M",59,1877.94,34
"00","A",57,"4",106747,32,"P","F",44,18922.87,31
"02","M",56,"3",114165,32,"P","F",55,20293.95,32
"98","B",80,"1",100867,20,"D","F",45,13256.74,31
"02","B",73,"1",11943,24,"O","F",53,10674.49,31
"98","U",45,"0",102459,11,"O","M",65,818.5,41
"98","M",46,"3",104681,37,"P","F",76,28784.52,60
"99","C",67,"3",110284,16,"D","M",51,6043.84,30
"98","M",84,"2",30332,20,"P","M",29,34997.79,47
"00","M",79,"0",74721,20,"O","F",19,29694.07,68
"98","U",58,"2",45818,31,"D","F",49,725.35,30
"98","M",31,"4",59187,22,"O","M",53,29818.49,31
"99","C",76,"2",72913,13,"D","M",31,5008.82,44
"99","B",61,"4",49856,30,"P","F",51,12944.31,30
"01","M",50,"0",3322,130.56491330266,"P","F",21,28572.65,63
"01","M",58,"2",7030,31,"O","F",47,27498.99,30
"99","C",64,"1",23473,28,"O","F",39,5533.26,34
"02","M",85,"4",15606,18,"D","F",45,32940.31,31
"00","M",87,"0",2253,3,"P","M",62,24757.14,37
"00","M",84,"3",40386,18,"P","F",52,38660.12,30
"98","U",33,"0",6988,12,"P","M",78,565.86,65
"98","M",86,"2",114633,21,"P","M",41,23148.09,33
"99","A",34,"4",96021,1,"O","M",49,15226.07,30
"02","M",31,"3",46281,3,"P","M",26,25238.47,52
"99","M",39,"4",71193,40,"D","F",28,35813.67,48
"01","A",63,"1",107212,17,"P","M",22,16243.97,60
"99","A",68,"1",67584,5,"D","M",73,19127.51,54
"02","A",66,"1",113391,11,"O","M",44,15092.07,31
"00","M",36,"2",93952,42,"P","F",44,32113.9,31
"99","M",66,"3",77935,20,"D","M",32,35305.25,42
"02","A",71,"2",79156,24,"O","F",74,17308.3,56
"00","M",39,"1",55079,19,"P","M",24,36496.89,56
"99","B",50,"4",13275,3,"D","M",51,13812.94,30
"02","M",53,"1",13339,34,"D","F",53,32816.15,31
"98","M",35,"1",109661,24,"D","M",33,20241.8,41
"00","M",45,"0",7040,8,"P","M",28,22920.56,48
"00","C",78,"3",74123,21,"P","F",30,5983.7,45
"02","U",84,"2",95614,11,"O","M",75,706.48,58
"98","A",66,"0",69977,25,"O","M",77,18607.72,63
"02","M",80,"0",8871,22,"P","M",46,30283.48,30
"01","M",43,"3",108168,2,"O","M",74,24383.76,56
"02","M",89,"0",5698,3,"P","M",22,28717.88,60
"00","C",43,"2",60290,38,"O","F",66,9210.13,42
"99","M",69,"4",36759,26,"P","F",44,25446.25,31
"98","M",66,"1",42422,27,"P","F",74,22323.27,56
"02","M",77,"4",76125,16,"P","M",51,28373.21,30
"01","M",69,"2",8618,26,"P","F",72,23693.95,52
"02","M",36,"2",16306,11,"O","M",54,29226.17,31
"00","A",75,"0",72013,2,"D","M",54,17790.96,31
"99","C",54,"0",103821,10,"D","M",37,4461.71,36
"00","C",85,"2",23106,11,"D","M",61,7752.83,36
"01","M",51,"3",51562,34,"D","F",70,39340.47,48
"00","B",45,"0",1055,135.644267683383,"P","M",52,14095.44,30
"98","M",67,"0",60612,12,"D","M",58,21653.36,33
"02","M",67,"0",21804,23,"D","M",68,20049.43,45
"98","M",85,"3",78864,18,"O","F",32,27070.54,42
"98","C",79,"1",10517,20,"O","F",48,4552.59,30
"98","M",77,"0",31943,2,"O","M",30,25260.1,45
"99","M",72,"1",117027,24,"P","F",53,31975.03,31
"99","U",58,"3",3097,31,"D","F",25,2227.66,54
"02","C",64,"3",83630,10,"P","M",73,6508.62,54
"00","A",79,"3",71730,13,"O","M",70,17864.7,48
"00","C",84,"4",13636,3,"O","M",33,4272.82,41
"02","M",80,"1",95468,20,"P","F",41,27446.21,33
"98","M",69,"2",14479,26,"O","F",50,29154.38,30
"00","M",32,"0",8380,131.521686746273,"P","M",31,31295.3,44
"99","M",80,"2",95742,9,"P","M",57,24469.98,33
"02","M",51,"0",90133,16,"D","M",44,33171.75,31
"00","M",45,"0",38228,139.897655693348,"O","F",23,29215.83,58
"02","C",35,"2",33509,42,"O","F",34,9179.49,39
"98","C",49,"1",72001,36,"P","F",47,5511.05,30
"01","M",61,"2",111835,20,"D","M",24,22688.22,56
"00","M",49,"4",5958,36,"D","F",68,25459.33,45
"02","A",69,"4",26982,26,"O","F",23,17357.94,58
"02","M",86,"2",69918,17,"O","F",21,32497.99,63
"01","A",72,"4",70063,9,"O","M",75,18994.97,58
"01","M",52,"1",70697,34,"D","F",58,36861.89,33
"02","M",39,"3",75947,40,"P","F",70,34957.05,48
"00","C",67,"4",32627,26,"P","F",73,4717.32,54
"00","C",83,"1",74309,14,"D","M",21,6271.72,63
"00","M",81,"3",2266,16,"O","M",20,30603.45,65
"00","B",38,"1",72246,2,"P","M",31,11086.9,44
"00","A",59,"3",72970,14,"D","M",46,18653.08,30
"00","B",45,"2",98663,18,"D","M",79,14197.14,68
